	instance	label_original	label
108	http://purl.org/collections/nl/am/proxy-57622	http://purl.org/collections/nl/am/t-22503	6
109	http://purl.org/collections/nl/am/proxy-57326	http://purl.org/collections/nl/am/t-22503	6
114	http://purl.org/collections/nl/am/proxy-15500	http://purl.org/collections/nl/am/t-22509	12
123	http://purl.org/collections/nl/am/proxy-842	http://purl.org/collections/nl/am/t-22503	6
135	http://purl.org/collections/nl/am/proxy-29490	http://purl.org/collections/nl/am/t-15579	3
143	http://purl.org/collections/nl/am/proxy-13518	http://purl.org/collections/nl/am/t-22507	10
144	http://purl.org/collections/nl/am/proxy-28096	http://purl.org/collections/nl/am/t-15579	3
147	http://purl.org/collections/nl/am/proxy-66947	http://purl.org/collections/nl/am/t-5504	17
148	http://purl.org/collections/nl/am/proxy-72171	http://purl.org/collections/nl/am/t-22503	6
149	http://purl.org/collections/nl/am/proxy-27916	http://purl.org/collections/nl/am/t-5504	17
152	http://purl.org/collections/nl/am/proxy-7614	http://purl.org/collections/nl/am/t-15579	3
163	http://purl.org/collections/nl/am/proxy-13116	http://purl.org/collections/nl/am/t-15606	4
167	http://purl.org/collections/nl/am/proxy-60101	http://purl.org/collections/nl/am/t-22503	6
186	http://purl.org/collections/nl/am/proxy-47079	http://purl.org/collections/nl/am/t-5504	17
189	http://purl.org/collections/nl/am/proxy-8044	http://purl.org/collections/nl/am/t-15573	2
207	http://purl.org/collections/nl/am/proxy-60341	http://purl.org/collections/nl/am/t-22503	6
211	http://purl.org/collections/nl/am/proxy-35134	http://purl.org/collections/nl/am/t-22509	12
214	http://purl.org/collections/nl/am/proxy-70101	http://purl.org/collections/nl/am/t-22503	6
215	http://purl.org/collections/nl/am/proxy-14542	http://purl.org/collections/nl/am/t-5504	17
219	http://purl.org/collections/nl/am/proxy-71695	http://purl.org/collections/nl/am/t-22503	6
230	http://purl.org/collections/nl/am/proxy-67914	http://purl.org/collections/nl/am/t-15579	3
233	http://purl.org/collections/nl/am/proxy-45190	http://purl.org/collections/nl/am/t-14592	0
240	http://purl.org/collections/nl/am/proxy-54430	http://purl.org/collections/nl/am/t-22503	6
241	http://purl.org/collections/nl/am/proxy-63480	http://purl.org/collections/nl/am/t-14592	0
242	http://purl.org/collections/nl/am/proxy-20606	http://purl.org/collections/nl/am/t-15579	3
251	http://purl.org/collections/nl/am/proxy-51194	http://purl.org/collections/nl/am/t-22503	6
259	http://purl.org/collections/nl/am/proxy-14763	http://purl.org/collections/nl/am/t-15606	4
265	http://purl.org/collections/nl/am/proxy-6967	http://purl.org/collections/nl/am/t-15606	4
275	http://purl.org/collections/nl/am/proxy-44696	http://purl.org/collections/nl/am/t-22507	10
276	http://purl.org/collections/nl/am/proxy-18258	http://purl.org/collections/nl/am/t-22509	12
287	http://purl.org/collections/nl/am/proxy-2965	http://purl.org/collections/nl/am/t-22503	6
288	http://purl.org/collections/nl/am/proxy-20780	http://purl.org/collections/nl/am/t-15579	3
298	http://purl.org/collections/nl/am/proxy-38510	http://purl.org/collections/nl/am/t-22506	9
301	http://purl.org/collections/nl/am/proxy-44817	http://purl.org/collections/nl/am/t-5504	17
309	http://purl.org/collections/nl/am/proxy-6527	http://purl.org/collections/nl/am/t-15606	4
310	http://purl.org/collections/nl/am/proxy-54045	http://purl.org/collections/nl/am/t-22503	6
316	http://purl.org/collections/nl/am/proxy-6217	http://purl.org/collections/nl/am/t-22506	9
318	http://purl.org/collections/nl/am/proxy-7354	http://purl.org/collections/nl/am/t-15606	4
320	http://purl.org/collections/nl/am/proxy-21443	http://purl.org/collections/nl/am/t-15606	4
326	http://purl.org/collections/nl/am/proxy-21448	http://purl.org/collections/nl/am/t-15606	4
328	http://purl.org/collections/nl/am/proxy-73351	http://purl.org/collections/nl/am/t-15606	4
329	http://purl.org/collections/nl/am/proxy-3852	http://purl.org/collections/nl/am/t-22503	6
332	http://purl.org/collections/nl/am/proxy-75190	http://purl.org/collections/nl/am/t-22508	11
337	http://purl.org/collections/nl/am/proxy-66912	http://purl.org/collections/nl/am/t-22507	10
339	http://purl.org/collections/nl/am/proxy-21991	http://purl.org/collections/nl/am/t-5504	17
349	http://purl.org/collections/nl/am/proxy-13449	http://purl.org/collections/nl/am/t-22507	10
353	http://purl.org/collections/nl/am/proxy-45358	http://purl.org/collections/nl/am/t-14592	0
355	http://purl.org/collections/nl/am/proxy-71440	http://purl.org/collections/nl/am/t-22503	6
359	http://purl.org/collections/nl/am/proxy-3144	http://purl.org/collections/nl/am/t-22503	6
362	http://purl.org/collections/nl/am/proxy-21074	http://purl.org/collections/nl/am/t-15606	4
363	http://purl.org/collections/nl/am/proxy-7120	http://purl.org/collections/nl/am/t-15606	4
366	http://purl.org/collections/nl/am/proxy-34437	http://purl.org/collections/nl/am/t-22509	12
384	http://purl.org/collections/nl/am/proxy-24461	http://purl.org/collections/nl/am/t-5504	17
387	http://purl.org/collections/nl/am/proxy-69233	http://purl.org/collections/nl/am/t-22503	6
390	http://purl.org/collections/nl/am/proxy-21522	http://purl.org/collections/nl/am/t-15579	3
391	http://purl.org/collections/nl/am/proxy-68179	http://purl.org/collections/nl/am/t-14592	0
392	http://purl.org/collections/nl/am/proxy-32226	http://purl.org/collections/nl/am/t-15579	3
401	http://purl.org/collections/nl/am/proxy-50906	http://purl.org/collections/nl/am/t-22503	6
410	http://purl.org/collections/nl/am/proxy-28141	http://purl.org/collections/nl/am/t-15579	3
422	http://purl.org/collections/nl/am/proxy-431	http://purl.org/collections/nl/am/t-22503	6
426	http://purl.org/collections/nl/am/proxy-33048	http://purl.org/collections/nl/am/t-22507	10
427	http://purl.org/collections/nl/am/proxy-42491	http://purl.org/collections/nl/am/t-22505	8
428	http://purl.org/collections/nl/am/proxy-67305	http://purl.org/collections/nl/am/t-23765	13
432	http://purl.org/collections/nl/am/proxy-8064	http://purl.org/collections/nl/am/t-15606	4
442	http://purl.org/collections/nl/am/proxy-10659	http://purl.org/collections/nl/am/t-22508	11
452	http://purl.org/collections/nl/am/proxy-46463	http://purl.org/collections/nl/am/t-22504	7
468	http://purl.org/collections/nl/am/proxy-9527	http://purl.org/collections/nl/am/t-15459	1
477	http://purl.org/collections/nl/am/proxy-39740	http://purl.org/collections/nl/am/t-22505	8
478	http://purl.org/collections/nl/am/proxy-5624	http://purl.org/collections/nl/am/t-22508	11
483	http://purl.org/collections/nl/am/proxy-19078	http://purl.org/collections/nl/am/t-22509	12
491	http://purl.org/collections/nl/am/proxy-7934	http://purl.org/collections/nl/am/t-15573	2
492	http://purl.org/collections/nl/am/proxy-34822	http://purl.org/collections/nl/am/t-22509	12
495	http://purl.org/collections/nl/am/proxy-63458	http://purl.org/collections/nl/am/t-22508	11
498	http://purl.org/collections/nl/am/proxy-46454	http://purl.org/collections/nl/am/t-22504	7
501	http://purl.org/collections/nl/am/proxy-63381	http://purl.org/collections/nl/am/t-22503	6
506	http://purl.org/collections/nl/am/proxy-5738	http://purl.org/collections/nl/am/t-22508	11
508	http://purl.org/collections/nl/am/proxy-19099	http://purl.org/collections/nl/am/t-22509	12
512	http://purl.org/collections/nl/am/proxy-36623	http://purl.org/collections/nl/am/t-22509	12
515	http://purl.org/collections/nl/am/proxy-253	http://purl.org/collections/nl/am/t-22503	6
520	http://purl.org/collections/nl/am/proxy-65995	http://purl.org/collections/nl/am/t-22503	6
527	http://purl.org/collections/nl/am/proxy-53954	http://purl.org/collections/nl/am/t-22503	6
530	http://purl.org/collections/nl/am/proxy-34833	http://purl.org/collections/nl/am/t-22509	12
533	http://purl.org/collections/nl/am/proxy-11353	http://purl.org/collections/nl/am/t-15579	3
534	http://purl.org/collections/nl/am/proxy-42858	http://purl.org/collections/nl/am/t-22505	8
540	http://purl.org/collections/nl/am/proxy-11455	http://purl.org/collections/nl/am/t-15606	4
541	http://purl.org/collections/nl/am/proxy-40871	http://purl.org/collections/nl/am/t-22505	8
560	http://purl.org/collections/nl/am/proxy-75173	http://purl.org/collections/nl/am/t-22508	11
564	http://purl.org/collections/nl/am/proxy-37898	http://purl.org/collections/nl/am/t-22506	9
567	http://purl.org/collections/nl/am/proxy-55784	http://purl.org/collections/nl/am/t-22503	6
568	http://purl.org/collections/nl/am/proxy-4385	http://purl.org/collections/nl/am/t-22503	6
573	http://purl.org/collections/nl/am/proxy-22583	http://purl.org/collections/nl/am/t-15606	4
576	http://purl.org/collections/nl/am/proxy-38066	http://purl.org/collections/nl/am/t-22506	9
579	http://purl.org/collections/nl/am/proxy-168	http://purl.org/collections/nl/am/t-22503	6
585	http://purl.org/collections/nl/am/proxy-12735	http://purl.org/collections/nl/am/t-15606	4
586	http://purl.org/collections/nl/am/proxy-56237	http://purl.org/collections/nl/am/t-22503	6
590	http://purl.org/collections/nl/am/proxy-56515	http://purl.org/collections/nl/am/t-22503	6
597	http://purl.org/collections/nl/am/proxy-38671	http://purl.org/collections/nl/am/t-22506	9
599	http://purl.org/collections/nl/am/proxy-15498	http://purl.org/collections/nl/am/t-22509	12
610	http://purl.org/collections/nl/am/proxy-26758	http://purl.org/collections/nl/am/t-15459	1
626	http://purl.org/collections/nl/am/proxy-25680	http://purl.org/collections/nl/am/t-5504	17
627	http://purl.org/collections/nl/am/proxy-65685	http://purl.org/collections/nl/am/t-22503	6
636	http://purl.org/collections/nl/am/proxy-60036	http://purl.org/collections/nl/am/t-22503	6
637	http://purl.org/collections/nl/am/proxy-45978	http://purl.org/collections/nl/am/t-14592	0
642	http://purl.org/collections/nl/am/proxy-9515	http://purl.org/collections/nl/am/t-15459	1
656	http://purl.org/collections/nl/am/proxy-61251	http://purl.org/collections/nl/am/t-22503	6
659	http://purl.org/collections/nl/am/proxy-60163	http://purl.org/collections/nl/am/t-22503	6
660	http://purl.org/collections/nl/am/proxy-6446	http://purl.org/collections/nl/am/t-15606	4
662	http://purl.org/collections/nl/am/proxy-3490	http://purl.org/collections/nl/am/t-22503	6
666	http://purl.org/collections/nl/am/proxy-7703	http://purl.org/collections/nl/am/t-15579	3
670	http://purl.org/collections/nl/am/proxy-38695	http://purl.org/collections/nl/am/t-22506	9
672	http://purl.org/collections/nl/am/proxy-62218	http://purl.org/collections/nl/am/t-22505	8
676	http://purl.org/collections/nl/am/proxy-51416	http://purl.org/collections/nl/am/t-22503	6
681	http://purl.org/collections/nl/am/proxy-12141	http://purl.org/collections/nl/am/t-5504	17
682	http://purl.org/collections/nl/am/proxy-74071	http://purl.org/collections/nl/am/t-15579	3
683	http://purl.org/collections/nl/am/proxy-12861	http://purl.org/collections/nl/am/t-15606	4
685	http://purl.org/collections/nl/am/proxy-35435	http://purl.org/collections/nl/am/t-22509	12
698	http://purl.org/collections/nl/am/proxy-70415	http://purl.org/collections/nl/am/t-22503	6
706	http://purl.org/collections/nl/am/proxy-54094	http://purl.org/collections/nl/am/t-22503	6
712	http://purl.org/collections/nl/am/proxy-47968	http://purl.org/collections/nl/am/t-22503	6
715	http://purl.org/collections/nl/am/proxy-24232	http://purl.org/collections/nl/am/t-15459	1
720	http://purl.org/collections/nl/am/proxy-12450	http://purl.org/collections/nl/am/t-15606	4
730	http://purl.org/collections/nl/am/proxy-42574	http://purl.org/collections/nl/am/t-22505	8
732	http://purl.org/collections/nl/am/proxy-12125	http://purl.org/collections/nl/am/t-5504	17
741	http://purl.org/collections/nl/am/proxy-24594	http://purl.org/collections/nl/am/t-5504	17
742	http://purl.org/collections/nl/am/proxy-40710	http://purl.org/collections/nl/am/t-22505	8
746	http://purl.org/collections/nl/am/proxy-57601	http://purl.org/collections/nl/am/t-22503	6
748	http://purl.org/collections/nl/am/proxy-10446	http://purl.org/collections/nl/am/t-22508	11
752	http://purl.org/collections/nl/am/proxy-48364	http://purl.org/collections/nl/am/t-28650	14
761	http://purl.org/collections/nl/am/proxy-58211	http://purl.org/collections/nl/am/t-22503	6
762	http://purl.org/collections/nl/am/proxy-46823	http://purl.org/collections/nl/am/t-15579	3
773	http://purl.org/collections/nl/am/proxy-60278	http://purl.org/collections/nl/am/t-22503	6
787	http://purl.org/collections/nl/am/proxy-60173	http://purl.org/collections/nl/am/t-22503	6
789	http://purl.org/collections/nl/am/proxy-35510	http://purl.org/collections/nl/am/t-22509	12
792	http://purl.org/collections/nl/am/proxy-48395	http://purl.org/collections/nl/am/t-28650	14
793	http://purl.org/collections/nl/am/proxy-20942	http://purl.org/collections/nl/am/t-22503	6
794	http://purl.org/collections/nl/am/proxy-66343	http://purl.org/collections/nl/am/t-15579	3
806	http://purl.org/collections/nl/am/proxy-60751	http://purl.org/collections/nl/am/t-22503	6
815	http://purl.org/collections/nl/am/proxy-60269	http://purl.org/collections/nl/am/t-22503	6
820	http://purl.org/collections/nl/am/proxy-30428	http://purl.org/collections/nl/am/t-5504	17
821	http://purl.org/collections/nl/am/proxy-2938	http://purl.org/collections/nl/am/t-22503	6
823	http://purl.org/collections/nl/am/proxy-54734	http://purl.org/collections/nl/am/t-22503	6
833	http://purl.org/collections/nl/am/proxy-44429	http://purl.org/collections/nl/am/t-5504	17
838	http://purl.org/collections/nl/am/proxy-42268	http://purl.org/collections/nl/am/t-22503	6
845	http://purl.org/collections/nl/am/proxy-36314	http://purl.org/collections/nl/am/t-22509	12
850	http://purl.org/collections/nl/am/proxy-71913	http://purl.org/collections/nl/am/t-22503	6
864	http://purl.org/collections/nl/am/proxy-59286	http://purl.org/collections/nl/am/t-22503	6
871	http://purl.org/collections/nl/am/proxy-72012	http://purl.org/collections/nl/am/t-22503	6
872	http://purl.org/collections/nl/am/proxy-64548	http://purl.org/collections/nl/am/t-22508	11
876	http://purl.org/collections/nl/am/proxy-34365	http://purl.org/collections/nl/am/t-22509	12
885	http://purl.org/collections/nl/am/proxy-22762	http://purl.org/collections/nl/am/t-15606	4
888	http://purl.org/collections/nl/am/proxy-73697	http://purl.org/collections/nl/am/t-22503	6
890	http://purl.org/collections/nl/am/proxy-29621	http://purl.org/collections/nl/am/t-5504	17
891	http://purl.org/collections/nl/am/proxy-49860	http://purl.org/collections/nl/am/t-22503	6
892	http://purl.org/collections/nl/am/proxy-72081	http://purl.org/collections/nl/am/t-22503	6
896	http://purl.org/collections/nl/am/proxy-12877	http://purl.org/collections/nl/am/t-15606	4
916	http://purl.org/collections/nl/am/proxy-63510	http://purl.org/collections/nl/am/t-5504	17
917	http://purl.org/collections/nl/am/proxy-30306	http://purl.org/collections/nl/am/t-15579	3
921	http://purl.org/collections/nl/am/proxy-5867	http://purl.org/collections/nl/am/t-15459	1
923	http://purl.org/collections/nl/am/proxy-63438	http://purl.org/collections/nl/am/t-22508	11
931	http://purl.org/collections/nl/am/proxy-27032	http://purl.org/collections/nl/am/t-5504	17
933	http://purl.org/collections/nl/am/proxy-38413	http://purl.org/collections/nl/am/t-22506	9
937	http://purl.org/collections/nl/am/proxy-57199	http://purl.org/collections/nl/am/t-22503	6
940	http://purl.org/collections/nl/am/proxy-14727	http://purl.org/collections/nl/am/t-15606	4
941	http://purl.org/collections/nl/am/proxy-50586	http://purl.org/collections/nl/am/t-22503	6
946	http://purl.org/collections/nl/am/proxy-41518	http://purl.org/collections/nl/am/t-22505	8
951	http://purl.org/collections/nl/am/proxy-73750	http://purl.org/collections/nl/am/t-31940	15
959	http://purl.org/collections/nl/am/proxy-13414	http://purl.org/collections/nl/am/t-16469	5
963	http://purl.org/collections/nl/am/proxy-12890	http://purl.org/collections/nl/am/t-15606	4
969	http://purl.org/collections/nl/am/proxy-54926	http://purl.org/collections/nl/am/t-22503	6
979	http://purl.org/collections/nl/am/proxy-56814	http://purl.org/collections/nl/am/t-22503	6
982	http://purl.org/collections/nl/am/proxy-71804	http://purl.org/collections/nl/am/t-22503	6
985	http://purl.org/collections/nl/am/proxy-43917	http://purl.org/collections/nl/am/t-22505	8
990	http://purl.org/collections/nl/am/proxy-10956	http://purl.org/collections/nl/am/t-22508	11
993	http://purl.org/collections/nl/am/proxy-72377	http://purl.org/collections/nl/am/t-22503	6
998	http://purl.org/collections/nl/am/proxy-15432	http://purl.org/collections/nl/am/t-22509	12
1002	http://purl.org/collections/nl/am/proxy-60979	http://purl.org/collections/nl/am/t-22503	6
1003	http://purl.org/collections/nl/am/proxy-62961	http://purl.org/collections/nl/am/t-23765	13
1008	http://purl.org/collections/nl/am/proxy-9242	http://purl.org/collections/nl/am/t-5504	17
1009	http://purl.org/collections/nl/am/proxy-38686	http://purl.org/collections/nl/am/t-22506	9
1014	http://purl.org/collections/nl/am/proxy-33880	http://purl.org/collections/nl/am/t-22509	12
1016	http://purl.org/collections/nl/am/proxy-23781	http://purl.org/collections/nl/am/t-15579	3
1017	http://purl.org/collections/nl/am/proxy-50081	http://purl.org/collections/nl/am/t-22503	6
1037	http://purl.org/collections/nl/am/proxy-72930	http://purl.org/collections/nl/am/t-14592	0
1038	http://purl.org/collections/nl/am/proxy-22816	http://purl.org/collections/nl/am/t-5504	17
1039	http://purl.org/collections/nl/am/proxy-1260	http://purl.org/collections/nl/am/t-22503	6
1051	http://purl.org/collections/nl/am/proxy-1126	http://purl.org/collections/nl/am/t-22503	6
1054	http://purl.org/collections/nl/am/proxy-847	http://purl.org/collections/nl/am/t-22503	6
1057	http://purl.org/collections/nl/am/proxy-10800	http://purl.org/collections/nl/am/t-22508	11
1063	http://purl.org/collections/nl/am/proxy-11606	http://purl.org/collections/nl/am/t-22508	11
1064	http://purl.org/collections/nl/am/proxy-56225	http://purl.org/collections/nl/am/t-22503	6
1072	http://purl.org/collections/nl/am/proxy-50536	http://purl.org/collections/nl/am/t-22503	6
1074	http://purl.org/collections/nl/am/proxy-66244	http://purl.org/collections/nl/am/t-14592	0
1084	http://purl.org/collections/nl/am/proxy-9176	http://purl.org/collections/nl/am/t-16469	5
1089	http://purl.org/collections/nl/am/proxy-67358	http://purl.org/collections/nl/am/t-15579	3
1097	http://purl.org/collections/nl/am/proxy-70106	http://purl.org/collections/nl/am/t-22503	6
1105	http://purl.org/collections/nl/am/proxy-53418	http://purl.org/collections/nl/am/t-22503	6
1116	http://purl.org/collections/nl/am/proxy-70874	http://purl.org/collections/nl/am/t-22503	6
1117	http://purl.org/collections/nl/am/proxy-68509	http://purl.org/collections/nl/am/t-14592	0
1118	http://purl.org/collections/nl/am/proxy-70511	http://purl.org/collections/nl/am/t-22503	6
1121	http://purl.org/collections/nl/am/proxy-53848	http://purl.org/collections/nl/am/t-22503	6
1131	http://purl.org/collections/nl/am/proxy-8045	http://purl.org/collections/nl/am/t-15573	2
1134	http://purl.org/collections/nl/am/proxy-1876	http://purl.org/collections/nl/am/t-22503	6
1138	http://purl.org/collections/nl/am/proxy-74573	http://purl.org/collections/nl/am/t-16469	5
1141	http://purl.org/collections/nl/am/proxy-67026	http://purl.org/collections/nl/am/t-5504	17
1152	http://purl.org/collections/nl/am/proxy-67980	http://purl.org/collections/nl/am/t-14592	0
1155	http://purl.org/collections/nl/am/proxy-19733	http://purl.org/collections/nl/am/t-15459	1
1174	http://purl.org/collections/nl/am/proxy-55724	http://purl.org/collections/nl/am/t-22503	6
1180	http://purl.org/collections/nl/am/proxy-34477	http://purl.org/collections/nl/am/t-22509	12
1182	http://purl.org/collections/nl/am/proxy-13855	http://purl.org/collections/nl/am/t-15579	3
1184	http://purl.org/collections/nl/am/proxy-49948	http://purl.org/collections/nl/am/t-22503	6
1185	http://purl.org/collections/nl/am/proxy-1831	http://purl.org/collections/nl/am/t-22503	6
1186	http://purl.org/collections/nl/am/proxy-7677	http://purl.org/collections/nl/am/t-15579	3
1187	http://purl.org/collections/nl/am/proxy-49745	http://purl.org/collections/nl/am/t-22503	6
1195	http://purl.org/collections/nl/am/proxy-55142	http://purl.org/collections/nl/am/t-22503	6
1196	http://purl.org/collections/nl/am/proxy-38815	http://purl.org/collections/nl/am/t-22506	9
1203	http://purl.org/collections/nl/am/proxy-20473	http://purl.org/collections/nl/am/t-5504	17
1204	http://purl.org/collections/nl/am/proxy-40328	http://purl.org/collections/nl/am/t-22505	8
1207	http://purl.org/collections/nl/am/proxy-20427	http://purl.org/collections/nl/am/t-5504	17
1220	http://purl.org/collections/nl/am/proxy-55202	http://purl.org/collections/nl/am/t-22503	6
1221	http://purl.org/collections/nl/am/proxy-60631	http://purl.org/collections/nl/am/t-22503	6
1222	http://purl.org/collections/nl/am/proxy-19423	http://purl.org/collections/nl/am/t-22507	10
1227	http://purl.org/collections/nl/am/proxy-33500	http://purl.org/collections/nl/am/t-5504	17
1229	http://purl.org/collections/nl/am/proxy-63001	http://purl.org/collections/nl/am/t-22503	6
1230	http://purl.org/collections/nl/am/proxy-40542	http://purl.org/collections/nl/am/t-22505	8
1231	http://purl.org/collections/nl/am/proxy-7091	http://purl.org/collections/nl/am/t-15606	4
1237	http://purl.org/collections/nl/am/proxy-51141	http://purl.org/collections/nl/am/t-22503	6
1247	http://purl.org/collections/nl/am/proxy-14419	http://purl.org/collections/nl/am/t-5504	17
1250	http://purl.org/collections/nl/am/proxy-38941	http://purl.org/collections/nl/am/t-22506	9
1262	http://purl.org/collections/nl/am/proxy-27823	http://purl.org/collections/nl/am/t-5504	17
1266	http://purl.org/collections/nl/am/proxy-15994	http://purl.org/collections/nl/am/t-32052	16
1269	http://purl.org/collections/nl/am/proxy-27797	http://purl.org/collections/nl/am/t-5504	17
1274	http://purl.org/collections/nl/am/proxy-31999	http://purl.org/collections/nl/am/t-15579	3
1277	http://purl.org/collections/nl/am/proxy-37384	http://purl.org/collections/nl/am/t-22506	9
1282	http://purl.org/collections/nl/am/proxy-54508	http://purl.org/collections/nl/am/t-22504	7
1286	http://purl.org/collections/nl/am/proxy-69717	http://purl.org/collections/nl/am/t-22503	6
1292	http://purl.org/collections/nl/am/proxy-14418	http://purl.org/collections/nl/am/t-5504	17
1297	http://purl.org/collections/nl/am/proxy-18217	http://purl.org/collections/nl/am/t-22509	12
1301	http://purl.org/collections/nl/am/proxy-75005	http://purl.org/collections/nl/am/t-5504	17
1306	http://purl.org/collections/nl/am/proxy-12439	http://purl.org/collections/nl/am/t-15606	4
1307	http://purl.org/collections/nl/am/proxy-34613	http://purl.org/collections/nl/am/t-22509	12
1308	http://purl.org/collections/nl/am/proxy-39875	http://purl.org/collections/nl/am/t-22505	8
1309	http://purl.org/collections/nl/am/proxy-24744	http://purl.org/collections/nl/am/t-15573	2
1310	http://purl.org/collections/nl/am/proxy-34665	http://purl.org/collections/nl/am/t-22509	12
1314	http://purl.org/collections/nl/am/proxy-67637	http://purl.org/collections/nl/am/t-15579	3
1323	http://purl.org/collections/nl/am/proxy-6301	http://purl.org/collections/nl/am/t-22507	10
1325	http://purl.org/collections/nl/am/proxy-46691	http://purl.org/collections/nl/am/t-15579	3
1330	http://purl.org/collections/nl/am/proxy-73813	http://purl.org/collections/nl/am/t-15579	3
1336	http://purl.org/collections/nl/am/proxy-64081	http://purl.org/collections/nl/am/t-5504	17
1340	http://purl.org/collections/nl/am/proxy-64457	http://purl.org/collections/nl/am/t-15579	3
1342	http://purl.org/collections/nl/am/proxy-21157	http://purl.org/collections/nl/am/t-15459	1
1343	http://purl.org/collections/nl/am/proxy-51756	http://purl.org/collections/nl/am/t-22503	6
1346	http://purl.org/collections/nl/am/proxy-57321	http://purl.org/collections/nl/am/t-22503	6
1352	http://purl.org/collections/nl/am/proxy-4115	http://purl.org/collections/nl/am/t-5504	17
1362	http://purl.org/collections/nl/am/proxy-31599	http://purl.org/collections/nl/am/t-16469	5
1368	http://purl.org/collections/nl/am/proxy-2579	http://purl.org/collections/nl/am/t-22503	6
1370	http://purl.org/collections/nl/am/proxy-69857	http://purl.org/collections/nl/am/t-22503	6
1374	http://purl.org/collections/nl/am/proxy-71962	http://purl.org/collections/nl/am/t-22503	6
1376	http://purl.org/collections/nl/am/proxy-1366	http://purl.org/collections/nl/am/t-22503	6
1389	http://purl.org/collections/nl/am/proxy-43905	http://purl.org/collections/nl/am/t-22505	8
1395	http://purl.org/collections/nl/am/proxy-46177	http://purl.org/collections/nl/am/t-14592	0
1407	http://purl.org/collections/nl/am/proxy-42842	http://purl.org/collections/nl/am/t-22505	8
1408	http://purl.org/collections/nl/am/proxy-72757	http://purl.org/collections/nl/am/t-22503	6
1410	http://purl.org/collections/nl/am/proxy-50157	http://purl.org/collections/nl/am/t-15606	4
1414	http://purl.org/collections/nl/am/proxy-57017	http://purl.org/collections/nl/am/t-22503	6
1427	http://purl.org/collections/nl/am/proxy-3537	http://purl.org/collections/nl/am/t-22503	6
1434	http://purl.org/collections/nl/am/proxy-22803	http://purl.org/collections/nl/am/t-15606	4
1444	http://purl.org/collections/nl/am/proxy-49995	http://purl.org/collections/nl/am/t-22503	6
1449	http://purl.org/collections/nl/am/proxy-72665	http://purl.org/collections/nl/am/t-22503	6
1452	http://purl.org/collections/nl/am/proxy-29380	http://purl.org/collections/nl/am/t-5504	17
1455	http://purl.org/collections/nl/am/proxy-15523	http://purl.org/collections/nl/am/t-22509	12
1458	http://purl.org/collections/nl/am/proxy-39817	http://purl.org/collections/nl/am/t-22505	8
1461	http://purl.org/collections/nl/am/proxy-9337	http://purl.org/collections/nl/am/t-5504	17
1465	http://purl.org/collections/nl/am/proxy-40130	http://purl.org/collections/nl/am/t-22505	8
1470	http://purl.org/collections/nl/am/proxy-8648	http://purl.org/collections/nl/am/t-15606	4
1471	http://purl.org/collections/nl/am/proxy-21550	http://purl.org/collections/nl/am/t-15579	3
1482	http://purl.org/collections/nl/am/proxy-37070	http://purl.org/collections/nl/am/t-22509	12
1486	http://purl.org/collections/nl/am/proxy-16744	http://purl.org/collections/nl/am/t-5504	17
1494	http://purl.org/collections/nl/am/proxy-26569	http://purl.org/collections/nl/am/t-15459	1
